epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.295,1.86062,2.59746,1.90294,0.51105,0.51737,0.45783,0.17473,1.96519,2.2793,2.02557,0.000474638,0.000474638,0.000474638
2,288.488,1.86095,2.22143,1.91448,0.51998,0.35066,0.37433,0.1531,1.96691,2.60163,1.98927,0.000941557,0.000941557,0.000941557
3,427.42,1.85844,2.12664,1.92399,0.55199,0.51035,0.51062,0.2038,1.96702,1.90807,2.0022,0.00139904,0.00139904,0.00139904
4,563.069,1.85888,2.06448,1.91332,0.63709,0.6169,0.60163,0.24233,1.97247,1.66159,2.01327,0.00138656,0.00138656,0.00138656
5,702.987,1.82801,1.9643,1.8903,0.63285,0.61184,0.62729,0.27516,1.84932,1.58107,1.90204,0.00137241,0.00137241,0.00137241
6,840.914,1.80999,1.90414,1.87724,0.68468,0.64531,0.66788,0.29148,1.85042,1.45724,1.90326,0.00135826,0.00135826,0.00135826
7,979.805,1.79703,1.84915,1.85766,0.68697,0.65673,0.68632,0.298,1.88252,1.47006,1.96758,0.00134412,0.00134412,0.00134412
8,1117.92,1.75899,1.79243,1.83623,0.68885,0.62399,0.64911,0.28613,1.89156,1.4917,1.94491,0.00132997,0.00132997,0.00132997
9,1256.38,1.76565,1.74758,1.82402,0.71119,0.64009,0.68744,0.29119,1.93667,1.36608,1.97108,0.00131582,0.00131582,0.00131582
10,1394.36,1.75274,1.71451,1.81804,0.67591,0.67392,0.68213,0.29124,1.87517,1.38999,1.91467,0.00130168,0.00130168,0.00130168
11,1530.09,1.74412,1.68499,1.81624,0.70309,0.67111,0.70372,0.30883,1.87324,1.35831,1.9029,0.00128753,0.00128753,0.00128753
12,1666.52,1.72043,1.63916,1.79398,0.67126,0.65575,0.68317,0.30515,1.81133,1.41314,1.88265,0.00127338,0.00127338,0.00127338
13,1801.44,1.72729,1.62178,1.79398,0.70127,0.70445,0.72017,0.3239,1.85737,1.26129,1.91927,0.00125923,0.00125923,0.00125923
14,1936.84,1.72513,1.61007,1.78926,0.7313,0.69103,0.72017,0.32211,1.84595,1.25737,1.8718,0.00124509,0.00124509,0.00124509
15,2072.05,1.70813,1.58873,1.779,0.65862,0.67391,0.69462,0.31255,1.84935,1.30472,1.8755,0.00123094,0.00123094,0.00123094
16,2207.53,1.68883,1.5436,1.76252,0.71249,0.70345,0.74123,0.33749,1.80934,1.20067,1.85762,0.00121679,0.00121679,0.00121679
17,2342.78,1.68401,1.53302,1.75558,0.68803,0.72306,0.72044,0.3287,1.80469,1.21782,1.82078,0.00120265,0.00120265,0.00120265
18,2477.83,1.67608,1.52337,1.75412,0.71153,0.70885,0.72574,0.32399,1.85306,1.2188,1.92698,0.0011885,0.0011885,0.0011885
19,2614.56,1.67488,1.50771,1.74529,0.73911,0.70012,0.73718,0.33082,1.86023,1.20275,1.8942,0.00117435,0.00117435,0.00117435
20,2749.84,1.67008,1.47133,1.73551,0.71457,0.69606,0.73389,0.32943,1.86114,1.20419,1.86199,0.00116021,0.00116021,0.00116021
21,2886.25,1.65657,1.4468,1.72468,0.70641,0.72201,0.73895,0.33848,1.85954,1.17467,1.86263,0.00114606,0.00114606,0.00114606
22,3022.06,1.65406,1.42517,1.72126,0.72289,0.72514,0.73892,0.33429,1.85924,1.16388,1.87466,0.00113191,0.00113191,0.00113191
23,3158.09,1.65538,1.42628,1.72458,0.71469,0.72862,0.72943,0.33081,1.84421,1.16254,1.88567,0.00111776,0.00111776,0.00111776
24,3293.07,1.63061,1.40562,1.70605,0.69963,0.70552,0.71954,0.32,1.84332,1.21195,1.89836,0.00110362,0.00110362,0.00110362
25,3428.39,1.63169,1.3948,1.70876,0.67926,0.7317,0.72334,0.32269,1.87621,1.17464,1.91192,0.00108947,0.00108947,0.00108947
26,3563.05,1.62544,1.38197,1.70237,0.73379,0.73318,0.76133,0.35119,1.82932,1.11924,1.84924,0.00107532,0.00107532,0.00107532
27,3697.83,1.62297,1.37196,1.69876,0.72479,0.71779,0.7426,0.33662,1.83443,1.14104,1.8554,0.00106118,0.00106118,0.00106118
28,3832.46,1.60604,1.35734,1.68876,0.74133,0.72108,0.74905,0.33983,1.85659,1.13617,1.88119,0.00104703,0.00104703,0.00104703
29,3967.7,1.59827,1.33429,1.68501,0.70888,0.73641,0.73696,0.33088,1.86647,1.15012,1.90173,0.00103288,0.00103288,0.00103288
30,4102.46,1.59477,1.31879,1.67926,0.72565,0.74809,0.75563,0.34467,1.82854,1.10426,1.86872,0.00101873,0.00101873,0.00101873
31,4237.12,1.59196,1.30926,1.67502,0.72228,0.7357,0.74689,0.33932,1.86552,1.10674,1.88173,0.00100459,0.00100459,0.00100459
32,4372.14,1.57504,1.2905,1.65686,0.72999,0.71832,0.73789,0.33002,1.87107,1.12541,1.90026,0.00099044,0.00099044,0.00099044
33,4506.62,1.58416,1.29084,1.66901,0.6898,0.74192,0.74446,0.33958,1.85882,1.11724,1.90357,0.000976293,0.000976293,0.000976293
34,4640.94,1.56407,1.26653,1.65289,0.70489,0.72303,0.74395,0.33995,1.87164,1.11843,1.89418,0.000962146,0.000962146,0.000962146
35,4775.56,1.55403,1.2545,1.64066,0.70156,0.73966,0.74282,0.33482,1.90103,1.11191,1.93528,0.000947999,0.000947999,0.000947999
36,4910.68,1.54997,1.24114,1.63514,0.75004,0.72532,0.74848,0.33956,1.89634,1.10119,1.93282,0.000933851,0.000933851,0.000933851
37,5046.01,1.53933,1.22419,1.63047,0.73183,0.71224,0.73962,0.32928,1.87631,1.11957,1.92551,0.000919704,0.000919704,0.000919704
38,5182.15,1.53542,1.22522,1.63015,0.73767,0.7418,0.74793,0.3322,1.88152,1.10544,1.91534,0.000905557,0.000905557,0.000905557
39,5318.28,1.53155,1.22051,1.62264,0.72614,0.73098,0.75002,0.33351,1.91629,1.11699,1.96156,0.00089141,0.00089141,0.00089141
40,5455.33,1.52386,1.19459,1.61695,0.75193,0.71957,0.75572,0.33809,1.87429,1.09572,1.91664,0.000877263,0.000877263,0.000877263
41,5591.28,1.51481,1.18684,1.60744,0.70742,0.73163,0.74563,0.33157,1.88349,1.11917,1.90855,0.000863116,0.000863116,0.000863116
42,5727.3,1.50812,1.18214,1.60527,0.72685,0.76644,0.75084,0.33636,1.88746,1.07301,1.92011,0.000848969,0.000848969,0.000848969
43,5863.27,1.50266,1.16834,1.59737,0.74598,0.73791,0.75122,0.33407,1.92378,1.08626,1.93749,0.000834822,0.000834822,0.000834822
44,5999.44,1.48666,1.14036,1.59057,0.71778,0.74292,0.74465,0.33277,1.9013,1.0848,1.9454,0.000820675,0.000820675,0.000820675
45,6136.85,1.49523,1.14467,1.59978,0.73631,0.76529,0.75836,0.33137,1.89435,1.07292,1.93186,0.000806528,0.000806528,0.000806528
46,6273.5,1.47884,1.13149,1.58115,0.72934,0.7355,0.74677,0.32959,1.94846,1.09677,2.00418,0.00079238,0.00079238,0.00079238
47,6408.98,1.46866,1.1193,1.5848,0.7329,0.74102,0.73628,0.3245,1.94303,1.10676,2.00035,0.000778233,0.000778233,0.000778233
